index, path, x, y, id,Shape,Color, parent, child, type, size
22,2,133.8184915,-145.1111713,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,3,143.4480244,-153.5671305,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,4,152.5288319,-160.5641669,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,5,165.3755154,-168.8669932,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,6,181.6690383,-177.1469404,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,7,197.86045,-184.0572705,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,8,214.8798792,-191.5829053,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,9,233.6574548,-201.7087666,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,10,249.4539509,-212.2036158,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,11,261.0188112,-221.0465663,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,12,267.155,-226.115,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
23,0,159.688,-71.587,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,1,166.8783649,-74.95771057,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,2,179.5977312,-81.79116199,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,3,190.3434951,-88.75152454,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,4,199.4055157,-95.84384314,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,5,207.0736518,-103.0731627,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,6,213.6377622,-110.4445282,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,7,222.047946,-121.7789482,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,8,232.1027844,-137.4357549,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,9,242.9589802,-153.7515537,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,10,253.0219638,-166.4451451,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,11,261.188789,-175.134495,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,12,270.8603186,-184.011295,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,13,282.3264115,-193.0805902,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
23,14,288.823,-197.689,Food to Cooking removes alcohol,Shape, Food, Food, Cooking removes alcohol, link, 
24,0,159.688,-71.587,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,1,166.8993458,-74.92531229,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,2,179.7798872,-81.50988095,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,3,190.8309509,-87.99880923,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,4,200.3246037,-94.42461813,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,5,212.2400837,-104.0161223,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,6,225.2157434,-116.887406,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,7,236.8589636,-130.0915901,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,8,249.3462795,-143.8888425,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
